Ask Price,Ask Volume,Bid Price,Bid Volume,Chg Pct,Chg,Code,DY,Date,High,Last Price,Low,Market Cap,Name,Number of Records,Open,PE,Quote,ROE,Sector,Update Date,Volume
0.3,100,0.285,79,0,0,191,4.56,22/3/2019,0.295,0.29,0.285,50,ACECABNET HOLDINGS BERHAD,1,0.285,10.8,CABNET,10.04,Technology Equipment,22/3/2019 13:13,1267
1.39,4610,1.38,5645,-1.42,-0.02,5141,,21/3/2019,1.44,1.39,1.37,1341,MAINDAYANG ENTERPRISE HOLDINGS BERHAD,1,1.43,8.18,DAYANG,14.53,"Energy Infrastructure, Equipment & Services",21/3/2019 13:12,292796
0.06,88844,0.055,17529,0,0,7243,,21/3/2019,0.055,0.06,0.055,43,MAINBIO OSMO BERHAD,1,0.055,,BIOOSMO,,Food & Beverages,21/3/2019 13:12,22300
2.78,360,2.77,411,-0.72,-0.02,5099,23.1,21/3/2019,2.81,2.77,2.76,9257,MAINAIRASIA GROUP BERHAD,1,2.8,4.57,AIRASIA,32.57,"Travel, Leisure & Hospitality",21/3/2019 13:12,40498
0.3,100,0.285,603,-3.39,-0.01,191,4.56,21/3/2019,0.295,0.29,0.285,50,ACECABNET HOLDINGS BERHAD,1,0.295,10.8,CABNET,10.04,Technology Equipment,21/3/2019 13:12,1699
0.3,390,0.295,613,0,0,191,4.41,20/3/2019,0.3,0.3,0.29,52,ACECABNET HOLDINGS BERHAD,1,0.29,11.17,CABNET,10.04,Technology Equipment,20/3/2019 13:12,1375
2.79,642,2.78,3414,-1.06,-0.03,5099,22.94,20/3/2019,2.81,2.79,2.77,9324,MAINAIRASIA GROUP BERHAD,1,2.8,4.61,AIRASIA,32.57,"Travel, Leisure & Hospitality",20/3/2019 13:12,41357
1.42,7649,1.41,11417,2.17,0.03,5141,,20/3/2019,1.45,1.41,1.33,1360,MAINDAYANG ENTERPRISE HOLDINGS BERHAD,1,1.36,8.29,DAYANG,14.53,"Energy Infrastructure, Equipment & Services",20/3/2019 13:12,701749
0.06,92839,0.055,40933,0,0,7243,,20/3/2019,0.055,0.06,0.055,43,MAINBIO OSMO BERHAD,1,0.055,,BIOOSMO,,Food & Beverages,20/3/2019 13:12,16599
0.06,102839,0.055,52670,-8.33,-0.005,7243,,19/3/2019,0.06,0.06,0.055,43,MAINBIO OSMO BERHAD,1,0.06,,BIOOSMO,,Food & Beverages,19/3/2019 13:11,13243
2.82,282,2.8,675,1.08,0.03,5099,22.7,19/3/2019,2.87,2.82,2.77,9424,MAINAIRASIA GROUP BERHAD,1,2.79,4.66,AIRASIA,32.57,"Travel, Leisure & Hospitality",19/3/2019 13:11,92127
1.38,4907,1.37,2939,-14.81,-0.24,5141,,19/3/2019,1.59,1.38,1.36,1331,MAINDAYANG ENTERPRISE HOLDINGS BERHAD,1,1.56,8.12,DAYANG,14.53,"Energy Infrastructure, Equipment & Services",19/3/2019 13:11,1063583
0.3,173,0.295,108,-1.67,-0.005,191,4.41,19/3/2019,0.31,0.3,0.295,52,ACECABNET HOLDINGS BERHAD,1,0.305,11.17,CABNET,10.04,Technology Equipment,19/3/2019 13:11,1611
0.305,95,0.3,62,-1.64,-0.005,191,4.33,18/3/2019,0.32,0.3,0.295,53,ACECABNET HOLDINGS BERHAD,1,0.3,11.36,CABNET,10.04,Technology Equipment,18/3/2019 13:09,1902
1.62,1506,1.61,2117,-5.26,-0.09,5141,,18/3/2019,1.74,1.62,1.58,1563,MAINDAYANG ENTERPRISE HOLDINGS BERHAD,1,1.74,9.53,DAYANG,14.53,"Energy Infrastructure, Equipment & Services",18/3/2019 13:09,562949
0.06,83808,0.055,57612,0,0,7243,,18/3/2019,0.06,0.06,0.055,47,MAINBIO OSMO BERHAD,1,0.055,,BIOOSMO,,Food & Beverages,18/3/2019 13:09,6060
2.79,33,2.78,3648,0,0,5099,22.94,18/3/2019,2.81,2.79,2.77,9324,MAINAIRASIA GROUP BERHAD,1,2.8,4.61,AIRASIA,32.57,"Travel, Leisure & Hospitality",18/3/2019 13:09,32303
1.72,12859,1.71,208,1.18,0.02,5141,,17/3/2019,1.73,1.71,1.63,1650,MAINDAYANG ENTERPRISE HOLDINGS BERHAD,1,1.68,10.06,DAYANG,14.53,"Energy Infrastructure, Equipment & Services",17/3/2019 13:12,261124
